date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:20	390/390	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:19%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/menu/icon/2.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/menu/icon/2.jpg	(from https://htmldemo.net/hiraola/hiraola/index.html)
14:15:20	1027/1027	---MC-	200	added ('OK')	image/png	date:Tue,%2020%20Feb%202024%2007:15:20%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/menu/logo/2.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/menu/logo/2.png	(from https://htmldemo.net/hiraola/hiraola/index.html)
14:15:21	10007/10007	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:20%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/1_1.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/1_1.jpg	(from https://htmldemo.net/hiraola/hiraola/index.html)
14:15:21	10671/10671	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:20%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/1_2.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/1_2.jpg	(from https://htmldemo.net/hiraola/hiraola/index.html)
14:15:21	6978/6978	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:20%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/1_3.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/1_3.jpg	(from https://htmldemo.net/hiraola/hiraola/index.html)
14:15:21	6852/6852	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:21%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/1_4.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/1_4.jpg	(from https://htmldemo.net/hiraola/hiraola/index.html)
14:15:22	969/969	---MC-	200	added ('OK')	image/png	date:Tue,%2020%20Feb%202024%2007:15:21%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/menu/logo/4.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/menu/logo/4.png	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:22	23166/23166	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:21%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/3_1.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/3_1.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:23	28698/28698	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:22%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/3_2.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/3_2.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:23	26369/26369	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:22%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/3_3.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/3_3.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:23	19744/19744	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:22%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/3_4.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/3_4.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:23	14514/14514	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:23%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/banner/3_5.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/banner/3_5.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:24	64278/64278	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:23%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/blog/medium-size/2.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/blog/medium-size/2.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:24	64749/64749	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:23%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/blog/medium-size/3.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/blog/medium-size/3.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
14:15:24	45394/45394	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:23%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/blog/medium-size/4.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/blog/medium-size/4.jpg	(from https://htmldemo.net/hiraola/hiraola/index-3.html)
